"player_id","player_name","pts","fgm","fga","fg3m","fg3a","fg2m","fg2a","ftm","fta","reb","oreb","dreb","ast","stl","tov","blk","pf","min"
1713,"Vince Carter",1461,503,1241,292,777,211,464,163,218,569,85,484,289,146,134,89,400,4154
1717,"Dirk Nowitzki",2069,777,1812,281,751,496,1061,234,270,949,50,899,237,82,120,101,335,4114
1718,"Paul Pierce",81,28,70,15,43,13,27,10,13,48,1,47,10,4,16,5,40,278
1891,"Jason Terry",473,164,397,113,286,51,111,32,38,154,20,134,157,88,61,33,147,2179
1897,"Metta World Peace",57,19,68,9,38,10,30,10,16,20,5,15,11,10,7,2,18,162
1938,"Manu Ginobili",1093,372,902,153,419,219,483,196,238,299,47,252,346,125,201,32,245,2592
2034,"Mike Miller",28,9,23,8,20,1,3,2,2,38,2,36,22,2,13,0,9,152
2037,"Jamal Crawford",2338,841,2050,287,838,554,1212,369,426,313,46,267,628,134,328,35,275,5026
2199,"Tyson Chandler",870,335,514,0,1,335,513,200,304,1264,379,885,120,70,166,74,342,3330
2200,"Pau Gasol",1685,632,1325,105,237,527,1088,316,433,1257,258,999,440,53,205,164,260,3800
2207,"Joe Johnson",1087,419,986,146,403,273,583,103,122,415,47,368,227,54,118,25,160,3046
2210,"Richard Jefferson",478,165,370,64,193,101,177,84,115,220,30,190,93,28,57,11,164,1780
2216,"Zach Randolph",1885,794,1727,72,241,722,1486,225,300,995,279,716,249,80,215,20,255,3294
2225,"Tony Parker",1589,656,1420,46,157,610,1263,231,319,291,30,261,687,83,232,10,197,3655
2365,"Chris Andersen",28,9,22,0,3,9,19,10,14,31,9,22,5,5,5,7,20,115
2399,"Mike Dunleavy",275,93,220,53,134,40,86,36,45,115,18,97,50,15,28,7,67,845
2403,"Nene",1100,441,752,3,14,438,738,215,351,581,183,398,136,102,122,68,373,2501
2440,"Matt Barnes",527,185,473,87,263,98,210,70,89,384,70,314,195,48,107,26,185,1780
2449,"Luis Scola",184,71,151,17,50,54,101,25,37,139,51,88,37,14,34,4,63,465
2544,"LeBron James",5710,2151,4019,384,1075,1767,2944,1024,1480,1813,251,1562,1847,280,847,148,364,7756
2546,"Carmelo Anthony",3054,1123,2678,341,959,782,1719,467,580,945,138,807,321,111,260,90,427,5339
2548,"Dwyane Wade",2944,1129,2597,163,517,966,2080,523,703,807,182,625,757,206,444,126,354,5215
