"game_id","away_team","home_team"
21800001,"Philadelphia 76ers","Boston Celtics"
21800002,"Oklahoma City Thunder","Golden State Warriors"
21800008,"Cleveland Cavaliers","Toronto Raptors"
21800003,"Milwaukee Bucks","Charlotte Hornets"
21800011,"Utah Jazz","Sacramento Kings"
21800005,"Memphis Grizzlies","Indiana Pacers"
21800004,"Brooklyn Nets","Detroit Pistons"
21800009,"New Orleans Pelicans","Houston Rockets"
21800006,"Miami Heat","Orlando Magic"
21800012,"Denver Nuggets","LA Clippers"
21800013,"Dallas Mavericks","Phoenix Suns"
21800007,"Atlanta Hawks","New York Knicks"
21800010,"Minnesota Timberwolves","San Antonio Spurs"
21800015,"Miami Heat","Washington Wizards"
21800016,"Los Angeles Lakers","Portland Trail Blazers"
21800014,"Chicago Bulls","Philadelphia 76ers"
21800022,"Sacramento Kings","New Orleans Pelicans"
21800020,"Atlanta Hawks","Memphis Grizzlies"
21800019,"Boston Celtics","Toronto Raptors"
21800021,"Cleveland Cavaliers","Minnesota Timberwolves"
21800023,"Indiana Pacers","Milwaukee Bucks"
21800024,"Golden State Warriors","Utah Jazz"
21800017,"Charlotte Hornets","Orlando Magic"
21800025,"Oklahoma City Thunder","LA Clippers"
21800018,"New York Knicks","Brooklyn Nets"
21800027,"Toronto Raptors","Washington Wizards"
21800033,"Phoenix Suns","Denver Nuggets"
21800032,"Minnesota Timberwolves","Dallas Mavericks"
21800026,"Brooklyn Nets","Indiana Pacers"
21800034,"San Antonio Spurs","Portland Trail Blazers"
21800030,"Charlotte Hornets","Miami Heat"
21800028,"Boston Celtics","New York Knicks"
21800031,"Detroit Pistons","Chicago Bulls"
21800035,"Houston Rockets","Los Angeles Lakers"
21800029,"Orlando Magic","Philadelphia 76ers"
21800037,"Sacramento Kings","Oklahoma City Thunder"
21800038,"Golden State Warriors","Denver Nuggets"
21800036,"Atlanta Hawks","Cleveland Cavaliers"
21800039,"Houston Rockets","LA Clippers"
21800041,"Charlotte Hornets","Toronto Raptors"
21800043,"Indiana Pacers","Minnesota Timberwolves"
21800044,"Chicago Bulls","Dallas Mavericks"
21800042,"New York Knicks","Milwaukee Bucks"
21800045,"Memphis Grizzlies","Utah Jazz"
21800046,"Washington Wizards","Portland Trail Blazers"
21800040,"Orlando Magic","Boston Celtics"
21800048,"San Antonio Spurs","Los Angeles Lakers"
21800047,"Phoenix Suns","Golden State Warriors"
21800050,"LA Clippers","New Orleans Pelicans"
21800051,"Sacramento Kings","Denver Nuggets"
21800049,"Philadelphia 76ers","Detroit Pistons"
21800055,"Minnesota Timberwolves","Toronto Raptors"
21800061,"Memphis Grizzlies","Sacramento Kings"
21800052,"Dallas Mavericks","Atlanta Hawks"
21800059,"Philadelphia 76ers","Milwaukee Bucks"
21800054,"New York Knicks","Miami Heat"
21800057,"Utah Jazz","Houston Rockets"
21800053,"Brooklyn Nets","Cleveland Cavaliers"
21800060,"Los Angeles Lakers","Phoenix Suns"
21800056,"Charlotte Hornets","Chicago Bulls"
21800058,"Indiana Pacers","San Antonio Spurs"
21800062,"Washington Wizards","Golden State Warriors"
21800065,"Boston Celtics","Oklahoma City Thunder"
21800063,"Cleveland Cavaliers","Detroit Pistons"
21800064,"Portland Trail Blazers","Orlando Magic"
21800066,"Denver Nuggets","Los Angeles Lakers"
21800072,"Brooklyn Nets","New Orleans Pelicans"
21800069,"Dallas Mavericks","Toronto Raptors"
21800067,"Chicago Bulls","Charlotte Hornets"
21800071,"Milwaukee Bucks","Minnesota Timberwolves"
21800073,"Washington Wizards","Sacramento Kings"
21800070,"LA Clippers","Houston Rockets"
21800068,"Golden State Warriors","New York Knicks"
21800075,"Utah Jazz","New Orleans Pelicans"
21800080,"Phoenix Suns","Memphis Grizzlies"
21800076,"Chicago Bulls","Atlanta Hawks"
21800081,"Orlando Magic","Milwaukee Bucks"
21800074,"Boston Celtics","Detroit Pistons"
21800079,"Portland Trail Blazers","Miami Heat"
21800077,"Indiana Pacers","Cleveland Cavaliers"
21800082,"Los Angeles Lakers","San Antonio Spurs"
21800078,"Charlotte Hornets","Philadelphia 76ers"
21800085,"Phoenix Suns","Oklahoma City Thunder"
21800084,"Utah Jazz","Dallas Mavericks"
21800086,"Washington Wizards","LA Clippers"
21800083,"Golden State Warriors","Brooklyn Nets"
21800093,"Los Angeles Lakers","Minnesota Timberwolves"
21800095,"New Orleans Pelicans","Denver Nuggets"
21800087,"Portland Trail Blazers","Indiana Pacers"
21800092,"Toronto Raptors","Milwaukee Bucks"
21800089,"Sacramento Kings","Miami Heat"
21800090,"Brooklyn Nets","New York Knicks"
21800091,"Golden State Warriors","Chicago Bulls"
21800094,"Dallas Mavericks","San Antonio Spurs"
21800088,"Atlanta Hawks","Philadelphia 76ers"
21800103,"LA Clippers","Oklahoma City Thunder"
21800102,"Washington Wizards","Memphis Grizzlies"
21800100,"Philadelphia 76ers","Toronto Raptors"
21800096,"Miami Heat","Charlotte Hornets"
